Num.reads ,R1 ,R2 ,Paired ,MateMapped ,Singletons ,MateMappedDiffChr,Paired/Num.reads,Coverage,Total reads,Mapped/Tot
37712568,18857414,18855154,29667619,36256132,559434,5515786,0.786677242,6.57099,47168686,0.799525516
34295222,17148414,17146808,27826149,33156936,420359,4374326,0.811371013,6.14467,42753986,0.802152623
31622910,15812162,15810748,25293248,30473042,431461,4302632,0.799839357,5.66087,38553258,0.820239628
40506806,20254786,20252020,31774303,38804154,663614,5867016,0.78441887,6.9973,50216594,0.806641844
33984029,16992540,16991489,26736791,32667271,505759,4929502,0.786745768,5.99684,41706450,0.814838688
44730896,22366608,22364288,35110837,42937830,678305,6572310,0.784934802,7.68099,56479664,0.791982332
31289900,15645412,15644488,24717491,30126970,448752,4505188,0.789951102,5.57703,38283098,0.81732936
41285491,20643862,20641629,32727296,39736877,591401,5839304,0.792706958,7.15184,50465758,0.818089188
45079448,22540199,22539249,35858524,43366976,648604,6225124,0.79545171,7.74384,55385596,0.813920067
31773809,15887848,15885961,25152355,30557573,448710,4505036,0.79160654,5.57637,39714058,0.800064526
34891300,17446495,17444805,27967476,33645748,468308,4691278,0.80156016,6.17606,42467076,0.82160825
30305250,15153087,15152163,24181371,29186054,427388,4143708,0.797926795,5.43498,36518498,0.829860253
35518815,17760243,17758572,28342091,34191213,514294,4867500,0.797945849,6.24633,44165456,0.80422163
27432229,13716686,13715543,22011280,26455387,370016,3688548,0.802387586,5.00401,33489552,0.819127978
40833992,20417864,20416128,32387637,39267886,610329,5707926,0.793153826,7.08206,50568656,0.80749609
38611507,19306344,19305163,30720129,37161403,560368,5348116,0.795621083,6.73046,46504808,0.830269141
37955781,18978249,18977532,30106253,36495797,564689,5293866,0.793192821,6.61955,46962160,0.808220512
38338646,19169934,19168712,30502494,36858780,583684,5282368,0.795606971,6.64308,46338760,0.82735589
37531185,18766615,18764570,29719934,36060057,577270,5228292,0.791873052,6.56306,45600656,0.823040462
